ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
tet(W)	3000194	protein homolog model	CARD; Resistomes & Variants	16	95.85 - 100.0	YES	no data	Butyrivibrio fibrisolvens; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium breve; Bifidobacterium longum; Bifidobacterium thermophilum; Corynebacterium amycolatum; Corynebacterium diphtheriae; Corynebacterium jeikeium; Eggerthella lenta; Faecalibacterium prausnitzii; Gordonibacter urolithinfaciens; Lactobacillus crispatus; Lactobacillus johnsonii; Ligilactobacillus animalis; Mobiluncus mulieris; Streptococcus agalactiae; Streptococcus equi; Streptococcus mitis; Streptococcus suis; Trueperella pyogenes; Victivallales bacterium; Collinsella aerofaciens; Eubacterium maltosivorans	1229.00	0.00	1229.00	39.69	703.12	165.96	0	0	0	0	N/A	N/A		1920; 1920; 1920; 2082; 1653; 1920; 1941; 1920; 2070; 1920; 1920; 1920; 1920; 1920; 1920; 219	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	851.00	0.00	851.00	100.00	996.00	175.78	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
CGB-1	3000841	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium gleum	1.00	0.00	1.00	2.61	19.00	34.00	0	0	0	0	N/A	N/A		729	CGB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
tetA(P)	3000180	protein homolog model	CARD; Resistomes & Variants	2	97.79 - 100.0	no data	no data	Clostridium perfringens; Jeotgalibaca arthritidis	21.00	0.00	21.00	45.20	567.00	129.73	0	0	0	0	N/A	N/A		1263; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	43.00	0.00	43.00	24.68	408.00	101.51	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
CMY-20	3002031	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	1.57	18.00	34.00	0	0	0	0	N/A	N/A		1143	CMY beta-lactamase	cephalosporin	antibiotic inactivation
OXA-347	3001777	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	120.00	0.00	120.00	100.00	825.00	173.04	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
tet(40)	3000567	protein homolog model	CARD; Resistomes & Variants	9	96.8 - 100.0	YES	no data	uncultured bacterium; Anaerostipes hadrus; Roseburia hominis; Faecalibacterium prausnitzii; Enterocloster clostridioformis; Streptococcus suis	433.00	0.00	433.00	60.43	739.11	185.95	0	0	0	0	N/A	N/A		1221; 1221; 1254; 1221; 1239; 1221; 1221; 1221; 1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanR gene in vanD cluster	3002923	protein homolog model	CARD; Resistomes & Variants	3	91.81 - 100.0	no data	no data	Enterococcus faecium; Blautia producta	41.00	0.00	41.00	46.21	323.00	80.51	0	0	0	0	N/A	N/A		699; 699; 699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
lsaB	3003111	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus sciuri	28.00	0.00	28.00	15.28	226.00	98.39	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	196.00	0.00	196.00	100.00	1218.00	171.60	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
tet(32)	3000196	protein homolog model	CARD; Resistomes & Variants	7	73.87 - 100.0	YES	no data	Escherichia coli; Campylobacter concisus; Enterococcus faecalis; Erysipelatoclostridium ramosum; Eubacterium limosum; Faecalibacterium prausnitzii; Roseburia hominis; Ruthenibacterium lactatiformans; Streptococcus anginosus; Streptococcus constellatus; Streptococcus intermedius; Streptococcus pneumoniae; Massilistercora timonensis; Enterocloster clostridioformis	1772.00	0.00	1772.00	56.76	1089.86	164.03	0	0	0	0	N/A	N/A		1920; 1920; 1920; 1920; 1920; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(44)	3000556	protein homolog model	CARD; Resistomes & Variants	7	96.36 - 100.0	YES	no data	Campylobacter fetus; Clostridium perfringens; Erysipelatoclostridium ramosum; Streptococcus suis	491.00	0.00	491.00	29.22	561.00	167.85	0	0	0	0	N/A	N/A		1923; 1923; 1830; 1923; 1923; 1923; 1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(Q)	3000191	protein homolog model	CARD; Resistomes & Variants	46	31.02 - 100.0	YES	no data	Bacteroides fragilis; Anaerostipes hadrus; Bacteroides caccae; Parabacteroides distasonis; Bacteroides ovatus; Bacteroides thetaiotaomicron; Phocaeicola vulgatus; Phocaeicola dorei; Phocaeicola massiliensis; Collinsella aerofaciens; Prevotella intermedia; Enterocloster clostridioformis	4235.00	0.00	4235.00	35.01	685.46	172.11	0	0	0	0	N/A	N/A		1974; 2643; 2643; 2643; 2640; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 1926; 1926; 1995; 1926; 639; 1995; 1926; 1974; 1926; 1974; 1926; 1926; 1926; 2004; 1926; 1995; 1926; 1974; 1926; 1926; 1947; 1974; 1218; 1926; 2772; 1152; 1947; 903; 1302; 573; 1302; 1995; 1995	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vatE	3002844	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	3.00	0.00	3.00	9.92	64.00	56.00	0	0	0	0	N/A	N/A		645	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
vanX gene in vanD cluster	3003070	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	3.00	0.00	3.00	58.62	357.00	191.00	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanR gene in vanG cluster	3002926	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	40.00	0.00	40.00	65.11	461.00	99.05	0	0	0	0	N/A	N/A		708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
vanX gene in vanM cluster	3002953	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	2.00	0.00	2.00	3.12	19.00	34.00	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
CPS-1	3003716	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	4.00	0.00	4.00	5.84	51.00	37.00	0	0	0	0	N/A	N/A		873	CPS beta-lactamase	carbapenem	antibiotic inactivation
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	7.00	0.00	7.00	4.31	37.00	68.86	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
cdeA	3003835	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	5.00	0.00	5.00	4.90	65.00	56.60	0	0	0	0	N/A	N/A		1326	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AAC(6')-Im	3004629	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	17.00	0.00	17.00	100.00	537.00	186.00	0	0	0	0	N/A	N/A		537	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
Erm(O)-lrm	3004652	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces lividans	1.00	0.00	1.00	2.17	17.00	23.00	0	0	0	0	N/A	N/A		783	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
LEN-26	3002474	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	4.30	37.00	40.00	0	0	0	0	N/A	N/A		861	LEN beta-lactamase	penicillin beta-lactam	antibiotic inactivation
BahA	3003984	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus sp.	1.00	0.00	1.00	1.51	34.00	56.00	0	0	0	0	N/A	N/A		2259	Bah amidohydrolase	peptide antibiotic	antibiotic inactivation
TaeA	3003986	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus sp.	50.00	0.00	50.00	40.52	789.00	86.50	0	0	0	0	N/A	N/A		1947	ATP-binding cassette (ABC) antibiotic efflux pump	pleuromutilin antibiotic	antibiotic efflux
tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	2.00	0.00	2.00	10.19	177.00	114.00	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tva(A)	3004730	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira hyodysenteriae	1.00	0.00	1.00	1.12	17.00	23.00	0	0	0	0	N/A	N/A		1518	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	pleuromutilin antibiotic	antibiotic target protection
BES-1	3004751	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	2.00	0.00	2.00	3.30	29.00	51.00	0	0	0	0	N/A	N/A		879	BES Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
TMB-1	3004105	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter sp.	18.00	0.00	18.00	8.27	61.00	67.61	0	0	0	0	N/A	N/A		738	TMB beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
ACI-1	3004359	protein homolog model	CARD	1	100.0	no data	no data	Acidaminococcus fermentans	4.00	0.00	4.00	35.09	300.00	117.50	0	0	0	0	N/A	N/A		855	ACI beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
tet(W/N/W)	3004442	protein homolog model	CARD; Resistomes & Variants	3	79.94 - 100.0	no data	no data	uncultured bacterium; Collinsella aerofaciens; Klebsiella pneumoniae	38.00	0.00	38.00	24.29	468.33	162.62	0	0	0	0	N/A	N/A		1920; 1938; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
Vibrio anguillarum chloramphenicol acetyltransferase	3004460	protein homolog model	CARD	1	100.0	no data	no data	Vibrio anguillarum	1.00	0.00	1.00	18.28	119.00	176.00	0	0	0	0	N/A	N/A		651	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CGA-1	3004766	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium gleum	2.00	0.00	2.00	1.93	17.00	23.00	0	0	0	0	N/A	N/A		879	CGA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-152	3001457	protein homolog model	CARD	1	100.0	no data	no data	Pandoraea pnomenusa	1.00	0.00	1.00	3.85	33.00	34.00	0	0	0	0	N/A	N/A		858	OXA beta-lactamase; OXA-62-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
GOB-16	3004808	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia meningoseptica	2.00	0.00	2.00	8.48	74.00	56.50	0	0	0	0	N/A	N/A		873	GOB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
CME-1	3004775	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia meningoseptica	1.00	0.00	1.00	2.59	23.00	45.00	0	0	0	0	N/A	N/A		888	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation
ARL-6	3004739	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus arlettae	7.00	0.00	7.00	5.54	47.00	67.57	0	0	0	0	N/A	N/A		849	ARL Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
mphJ	3004544	protein homolog model	CARD	1	100.0	no data	no data	Brevibacillus brevis	7.00	0.00	7.00	7.98	74.00	69.00	0	0	0	0	N/A	N/A		927	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
dfrA18	3004568	protein homolog model	CARD	1	100.0	no data	no data	Vibrio cholerae	2.00	0.00	2.00	5.41	30.00	56.00	0	0	0	0	N/A	N/A		555	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
mef(D)	3005089	protein homolog model	CARD	1	100.0	no data	no data	Macrococcus canis	21.00	0.00	21.00	5.83	70.00	56.00	0	0	0	0	N/A	N/A		1200	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
ADC-252	3006422	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter pittii	1.00	0.00	1.00	2.08	24.00	45.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CDD-2	3006905	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	1.00	0.00	1.00	2.80	26.00	56.00	0	0	0	0	N/A	N/A		927	CDD beta-lactamase	carbapenem	antibiotic inactivation
EAM-1	3006873	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.00	0.00	1.00	1.99	19.00	34.00	0	0	0	0	N/A	N/A		957	EAM beta-lactamase	carbapenem	antibiotic inactivation
GOB-49	3005697	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	6.00	0.00	6.00	5.96	52.00	43.67	0	0	0	0	N/A	N/A		873	GOB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
KLUC-1	3006927	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.00	0.00	1.00	3.42	30.00	34.00	0	0	0	0	N/A	N/A		876	KLUC beta-lactamase	cephalosporin	antibiotic inactivation
OXA-493	3005726	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter	2.00	0.00	2.00	4.15	31.00	56.00	0	0	0	0	N/A	N/A		747	OXA beta-lactamase; OXA-493-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-844	3006038	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	13.00	0.00	13.00	6.93	57.00	67.69	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-213-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD; Resistomes & Variants	37	84.09 - 100.0	YES	no data	Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Bifidobacterium breve; Bifidobacterium dentium; Parascardovia denticolens; Gardnerella vaginalis	2333.00	0.00	2333.00	22.14	792.95	125.75	0	0	0	0	N/A	N/A		3561; 3561; 3561; 3561; 3561; 3705; 3684; 3684; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3570; 3570; 3570; 3570; 3564; 3561; 3561; 3561; 3561; 3561; 3561; 3561; 3552; 3585; 3636; 3567; 3585; 3585; 3636	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
vanR gene in vanN cluster	3002929	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	9.00	0.00	9.00	9.96	69.00	53.56	0	0	0	0	N/A	N/A		693	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
Erm(52)	3007041	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	88.00	0.00	88.00	100.00	930.00	185.39	0	0	0	0	N/A	N/A		930	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
nimG	3007109	protein homolog model	CARD	1	100.0	no data	no data	Alistipes sp.	6.00	0.00	6.00	8.28	41.00	45.00	0	0	0	0	N/A	N/A		495	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
FosM3	3007099	protein homolog model	CARD	1	100.0	no data	no data	Bacillus phocaeensis	1.00	0.00	1.00	6.29	27.00	34.00	0	0	0	0	N/A	N/A		429	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
tet(O/W/O)	3007123	protein homolog model	CARD	1	100.0	no data	no data	Megasphaera elsdenii	7.00	0.00	7.00	30.05	577.00	168.43	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(O/32/O)	3007119	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	18.00	0.00	18.00	39.84	765.00	188.11	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(W/32/O)	3007124	protein homolog model	CARD; Resistomes & Variants	2	93.42 - 100.0	no data	no data	Trueperella pyogenes; Dysosmobacter welbionis	45.00	0.00	45.00	53.95	1036.00	181.20	0	0	0	0	N/A	N/A		1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(X3)	3004719	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1.00	0.00	1.00	1.46	17.00	23.00	0	0	0	0	N/A	N/A		1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
cfrE	3005023	protein homolog model	CARD	1	100.0	no data	no data	Clostridium sp.	68.00	0.00	68.00	100.00	1035.00	175.84	0	0	0	0	N/A	N/A		1035	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration
CHM-1	3007855	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	1.00	0.00	1.00	2.24	17.00	23.00	0	0	0	0	N/A	N/A		759	CHM beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
OXA-1106	3008524	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pulli	2.00	0.00	2.00	5.56	45.00	56.00	0	0	0	0	N/A	N/A		810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
AAC(6')-Ig	3002554	protein homolog model	Resistomes & Variants	1	95.86	YES	NO	Acinetobacter haemolyticus	2.00	0.00	2.00	8.68	38.00	67.50	0	0	0	0	N/A	N/A		438	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
sul2	3000412	protein homolog model	Resistomes & Variants	4	99.63 - 100.0	YES	NO	Actinobacillus pleuropneumoniae; Acinetobacter baumannii; Bacteroides ovatus; Pasteurella multocida	92.00	0.00	92.00	48.34	429.00	164.88	0	0	0	0	N/A	N/A		915; 903; 870; 846	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
tet(45)	3003196	protein homolog model	Resistomes & Variants	6	74.93 - 76.92	YES	NO	Actinobacillus pleuropneumoniae; Bacillus subtilis; Enterococcus faecium; Streptococcus suis; Enterococcus faecalis	71.00	0.00	71.00	19.39	321.67	139.64	0	0	0	0	N/A	N/A		1401; 1371; 1605; 1392; 1857; 1131	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
APH(3'')-Ib	3002639	protein homolog model	Resistomes & Variants	2	99.25	YES	NO	Actinobacillus pleuropneumoniae; Escherichia coli; Histophilus somni; Pasteurella multocida	15.00	0.00	15.00	34.61	449.00	189.63	0	0	0	0	N/A	N/A		861; 1881	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
dfrF	3002867	protein homolog model	Resistomes & Variants; CARD	3	99.39 - 100.0	YES	YES	Anaerostipes hadrus; Bifidobacterium longum; Enterocloster clostridioformis; Enterococcus faecalis; Enterococcus faecium; Erysipelatoclostridium ramosum; Streptococcus dysgalactiae; Streptococcus equi; Streptococcus gallolyticus; Streptococcus lutetiensis; Streptococcus pasteurianus; Streptococcus suis	143.00	0.00	143.00	75.26	369.00	167.96	0	0	0	0	N/A	N/A		474; 495; 495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
vanW gene in vanI cluster	3003724	protein homolog model	Resistomes & Variants	39	23.96 - 46.09	YES	NO	Anaerostipes hadrus; Actinomyces viscosus; Bacillus cereus; Clostridium tetani; Clostridium perfringens; Bacillus subtilis; Dysosmobacter welbionis; Clostridium botulinum; Christensenella minuta; Clostridium sporogenes; Megasphaera stantonii; Roseburia hominis; Paeniclostridium sordellii; Peptacetobacter hiranonis; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Parvimonas micra; Peptoniphilus harei; Gordonibacter urolithinfaciens	427.00	0.00	427.00	16.39	243.28	116.88	0	0	0	0	N/A	N/A		1497; 1527; 1497; 1497; 1497; 1497; 2739; 1527; 2823; 768; 1263; 1350; 1380; 1563; 912; 1899; 1899; 1563; 1566; 1377; 633; 1359; 1563; 1572; 1482; 948; 927; 1596; 930; 1224; 1074; 1488; 1416; 1629; 1584; 1584; 1449; 1461; 2352	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanG	3002909	protein homolog model	Resistomes & Variants	33	38.03 - 91.4	YES	NO	Anaerostipes hadrus; Dysosmobacter welbionis; Clostridium botulinum; Escherichia coli; Faecalibacterium prausnitzii; Klebsiella oxytoca; Ruthenibacterium lactatiformans; Streptococcus agalactiae	423.00	0.00	423.00	35.45	384.70	162.23	0	0	0	0	N/A	N/A		1062; 1062; 1062; 1062; 1062; 1062; 1047; 1032; 1098; 1152; 1092; 1098; 1092; 1101; 1092; 1098; 1095; 1101; 1101; 1098; 1101; 1092; 1098; 1098; 1098; 1101; 1095; 1098; 1092; 1098; 1044; 1152; 1050	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
