ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CfxA4	3003005	protein homolog model	CARD; Resistomes & Variants	2	99.38 - 100.0	no data	no data	Bacteroides fragilis; Phocaeicola vulgatus	1811.00	0.00	1811.00	100.00	966.00	183.66	0	0	0	0	N/A	N/A		966; 966	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
tet(Q)	3000191	protein homolog model	CARD; Resistomes & Variants	37	31.02 - 100.0	YES	YES	Bacteroides fragilis; Anaerostipes hadrus; Bacteroides ovatus; Parabacteroides distasonis; Phocaeicola dorei; Phocaeicola massiliensis; Phocaeicola vulgatus; Bacteroides caccae; Bacteroides thetaiotaomicron; Eubacterium limosum; Prevotella intermedia; Enterocloster clostridioformis; Eubacterium maltosivorans; Staphylococcus aureus	3304.00	0.00	3304.00	36.18	748.97	170.15	0	0	0	0	N/A	N/A		1974; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 1926; 1995; 639; 1995; 1926; 1926; 1926; 1926; 1926; 1926; 1974; 1995; 1995; 1962; 1926; 2772; 2817; 1947; 1152; 903; 1962; 573; 1956	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
IMP-12	3002203	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas putida	25.00	0.00	25.00	11.88	88.00	78.92	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
tetB(P)	3000195	protein homolog model	CARD; Resistomes & Variants	3	96.47 - 100.0	YES	no data	Clostridium perfringens; Clostridium butyricum; Paeniclostridium sordellii; unclassified Bacteria; Peptacetobacter hiranonis	42.00	0.00	42.00	37.84	741.33	183.29	0	0	0	0	N/A	N/A		1959; 1959; 1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tetA(P)	3000180	protein homolog model	CARD; Resistomes & Variants	2	97.79 - 100.0	no data	no data	Clostridium perfringens; Jeotgalibaca arthritidis	26.00	0.00	26.00	64.37	803.50	166.82	0	0	0	0	N/A	N/A		1263; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
catP	3002686	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	51.00	0.00	51.00	100.00	624.00	183.00	0	0	0	0	N/A	N/A		624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD; Resistomes & Variants	2	99.39 - 100.0	no data	no data	Enterococcus faecalis; Enterococcus faecium	214.00	0.00	214.00	70.50	349.00	148.82	0	0	0	0	N/A	N/A		495; 495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
lsaB	3003111	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus sciuri	5.00	0.00	5.00	8.79	130.00	47.20	0	0	0	0	N/A	N/A		1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection
rosA	3003048	protein homolog model	CARD	1	100.0	no data	no data	Yersinia enterocolitica	5.00	0.00	5.00	14.76	182.00	101.60	0	0	0	0	N/A	N/A		1233	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	219.00	0.00	219.00	100.00	1218.00	169.76	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	8.00	0.00	8.00	8.27	165.00	73.50	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
SHV-51	3001108	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.00	0.00	1.00	13.82	119.00	191.00	0	0	0	0	N/A	N/A		861	SHV beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
vanR gene in vanG cluster	3002926	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	38.00	0.00	38.00	50.85	360.00	114.74	0	0	0	0	N/A	N/A		708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
vanE	3002907	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	2.00	0.00	2.00	13.22	140.00	67.50	0	0	0	0	N/A	N/A		1059	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
ramA	3000823	protein homolog model	CARD; Resistomes & Variants	2	93.55 - 100.0	YES	no data	Enterobacter cloacae; Enterobacter hormaechei	4.00	0.00	4.00	29.46	110.50	90.00	0	0	0	0	N/A	N/A		375; 375	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
ErmY	3002825	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	1.00	0.00	1.00	2.31	17.00	23.00	0	0	0	0	N/A	N/A		735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
CfxA3	3003003	protein homolog model	CARD	1	100.0	no data	no data	Capnocytophaga ochracea	12.00	0.00	12.00	57.56	556.00	190.83	0	0	0	0	N/A	N/A		966	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
blaR1	3000217	protein homolog model	CARD	1	100.0	no data	no data	Alkalihalobacillus clausii	2.00	0.00	2.00	3.06	54.00	63.00	0	0	0	0	N/A	N/A		1767	BlaZ beta-lactamase	penicillin beta-lactam	antibiotic inactivation
vatE	3002844	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	0.00	1.00	5.43	35.00	56.00	0	0	0	0	N/A	N/A		645	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
vanS gene in vanD cluster	3002934	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	0.00	1.00	3.42	24.00	34.00	0	0	0	0	N/A	N/A		702	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
LnuP	3004601	protein homolog model	CARD; Resistomes & Variants	2	100.0	YES	no data	Clostridium perfringens	20.00	0.00	20.00	74.25	372.00	187.12	0	0	0	0	N/A	N/A		501; 501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
MSI-1	3003718	protein homolog model	CARD	1	100.0	no data	no data	Massilia sp.	1.00	0.00	1.00	2.44	25.00	70.00	0	0	0	0	N/A	N/A		1026	MSI beta-lactamase	carbapenem	antibiotic inactivation
cfr(B)	3004649	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	5.00	0.00	5.00	26.00	273.00	190.40	0	0	0	0	N/A	N/A		1050	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target alteration
cdeA	3003835	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	10.00	0.00	10.00	31.75	421.00	88.70	0	0	0	0	N/A	N/A		1326	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
tetB(60)	3004036	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	3.00	0.00	3.00	20.52	357.00	149.33	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	5.00	0.00	5.00	24.12	419.00	121.40	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetA(46)	3004032	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	13.00	0.00	13.00	65.45	1129.00	151.77	0	0	0	0	N/A	N/A		1725	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
kamB	3004102	protein homolog model	CARD	1	100.0	no data	no data	Streptoalloteichus tenebrarius	3.00	0.00	3.00	5.40	35.00	56.00	0	0	0	0	N/A	N/A		648	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration
tetA(60)	3004035	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	4.00	0.00	4.00	16.03	279.00	87.25	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
Enterococcus faecium chloramphenicol acetyltransferase	3004456	protein homolog model	CARD; Resistomes & Variants	2	89.84 - 100.0	no data	no data	Enterococcus faecium	12.00	0.00	12.00	17.73	111.50	79.50	0	0	0	0	N/A	N/A		648; 618	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
Klebsiella pneumoniae acrA	3004041	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	10.00	0.00	10.00	62.41	747.00	160.80	0	0	0	0	N/A	N/A		1197	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
BAT-1	3004747	protein homolog model	CARD	1	100.0	no data	no data	Bacillus atrophaeus	9.00	0.00	9.00	12.02	97.00	85.78	0	0	0	0	N/A	N/A		807	BAT Beta-lactamase	cephalosporin	antibiotic inactivation
OmpA	3005044	protein homolog model	CARD; Resistomes & Variants	8	95.72 - 100.0	YES	no data	Klebsiella pneumoniae; Raoultella planticola; Klebsiella oxytoca; Klebsiella michiganensis; Klebsiella quasipneumoniae	44.00	0.00	44.00	20.32	221.75	158.57	0	0	0	0	N/A	N/A		1125; 1071; 1071; 1071; 1125; 1071; 1071; 1125	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic
ADC-252	3006422	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter pittii	1.00	0.00	1.00	1.91	22.00	45.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
CME-1	3004775	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia meningoseptica	12.00	0.00	12.00	4.62	41.00	43.17	0	0	0	0	N/A	N/A		888	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation
CDD-2	3006905	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	1.00	0.00	1.00	3.13	29.00	68.00	0	0	0	0	N/A	N/A		927	CDD beta-lactamase	carbapenem	antibiotic inactivation
CepA-44	3006225	protein homolog model	CARD; Resistomes & Variants	2	99.33 - 100.0	no data	no data	Bacteroides fragilis	12.00	0.00	12.00	32.61	313.50	95.00	0	0	0	0	N/A	N/A		903; 963	CepA beta-lactamase	cephalosporin	antibiotic inactivation
CDD-1	3006904	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	17.00	0.00	17.00	8.52	80.00	78.88	0	0	0	0	N/A	N/A		939	CDD beta-lactamase	carbapenem	antibiotic inactivation
GOB-31	3005680	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	2.00	0.00	2.00	6.30	55.00	45.00	0	0	0	0	N/A	N/A		873	GOB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
Trimethoprim-resistant dihydrofolate reductase DfrA42	3005334	protein homolog model	CARD	1	100.0	no data	no data	Proteus vulgaris	3.00	0.00	3.00	4.68	25.00	38.00	0	0	0	0	N/A	N/A		534	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
vanR gene in vanE cluster	3002924	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	1.00	0.00	1.00	5.36	37.00	68.00	0	0	0	0	N/A	N/A		690	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
Limosilactobacillus reuteri cat-TC	3002671	protein homolog model	CARD	1	100.0	no data	no data	Limosilactobacillus reuteri	1.00	0.00	1.00	9.76	70.00	152.00	0	0	0	0	N/A	N/A		717	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD; Resistomes & Variants	80	84.09 - 100.0	YES	no data	Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Bifidobacterium breve; Bifidobacterium dentium; Parascardovia denticolens; Gardnerella vaginalis	10288.00	0.00	10288.00	24.74	886.51	169.66	0	0	0	0	N/A	N/A		3561; 3561; 3561; 3561; 3561; 3684; 3684; 3633; 3684; 3684; 3633; 3705; 3684; 3684; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3570; 3570; 3570; 3564; 3564; 3564; 3564; 3639; 3564; 3564; 3561; 3561; 3561; 3561; 3561; 3561; 3561; 3561; 3561; 3552; 3636; 3636	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Rm3	3003894	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	2.00	0.00	2.00	7.15	65.00	51.00	0	0	0	0	N/A	N/A		909	Rm3 family beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
vanR gene in vanN cluster	3002929	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	12.00	0.00	12.00	10.25	71.00	53.33	0	0	0	0	N/A	N/A		693	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
SGM-5	3006991	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.00	0.00	1.00	3.06	30.00	34.00	0	0	0	0	N/A	N/A		981	SGM beta-lactamase	carbapenem	antibiotic inactivation
tet(O/W/O)	3007123	protein homolog model	CARD	1	100.0	no data	no data	Megasphaera elsdenii	9.00	0.00	9.00	27.76	533.00	169.78	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(O/32/O)	3007119	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	29.00	0.00	29.00	39.38	756.00	190.72	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
salC	3007027	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus fleurettii	1.00	0.00	1.00	1.54	25.00	46.00	0	0	0	0	N/A	N/A		1626	sal-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
vanX gene in vanP cluster	3007190	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	8.00	0.00	8.00	7.55	46.00	53.50	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
nimG	3007109	protein homolog model	CARD	1	100.0	no data	no data	Alistipes sp.	10.00	0.00	10.00	9.09	45.00	45.00	0	0	0	0	N/A	N/A		495	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
ThfT	3007427	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	17.00	0.00	17.00	12.01	67.00	67.00	0	0	0	0	N/A	N/A		558	ECF transporter S component	sulfonamide antibiotic	resistance by host-dependent nutrient acquisition
IND-17	3007470	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	2.00	0.00	2.00	16.32	119.00	61.50	0	0	0	0	N/A	N/A		729	IND beta-lactamase	carbapenem	antibiotic inactivation
Clostridioides difficile cplR	3007637	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	7.00	0.00	7.00	5.32	88.00	58.14	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; nucleoside antibiotic	antibiotic target protection
MdtQ	3007682	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	13.00	0.00	13.00	56.04	807.00	157.38	0	0	0	0	N/A	N/A		1440	Outer Membrane Porin (Opr)	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic
Clostridioides difficile nimB	3007671	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	2.00	0.00	2.00	33.55	157.00	121.50	0	0	0	0	N/A	N/A		468	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
ACT-176	3007939	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter sichuanensis	1.00	0.00	1.00	10.38	119.00	189.00	0	0	0	0	N/A	N/A		1146	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
KPC-117	3008247	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	6.71	60.00	127.00	0	0	0	0	N/A	N/A		894	KPC beta-lactamase	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
OXA-1091	3008509	protein homolog model	CARD	1	100.0	no data	no data	Bradyrhizobium sp.	1.00	0.00	1.00	3.05	25.00	46.00	0	0	0	0	N/A	N/A		819	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-957	3008734	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	1.00	0.00	1.00	3.55	28.00	34.00	0	0	0	0	N/A	N/A		789	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
PEN-A10	3008988	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia multivorans	1.00	0.00	1.00	2.97	27.00	46.00	0	0	0	0	N/A	N/A		909	PEN-A beta-lactamase	penicillin beta-lactam	antibiotic inactivation
PDC-524	3008871	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	0.00	2.00	1.76	21.00	34.00	0	0	0	0	N/A	N/A		1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
OXA-981	3008758	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter gerneri	1.00	0.00	1.00	2.14	18.00	34.00	0	0	0	0	N/A	N/A		840	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
sul2	3000412	protein homolog model	Resistomes & Variants	3	98.87 - 100.0	YES	NO	Actinobacillus pleuropneumoniae; Bacteroides ovatus; Escherichia coli	68.00	0.00	68.00	56.42	470.67	155.89	0	0	0	0	N/A	N/A		915; 870; 801	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
vanW gene in vanI cluster	3003724	protein homolog model	Resistomes & Variants	41	23.96 - 41.56	YES	NO	Anaerostipes hadrus; Actinomyces viscosus; Bacillus cereus; Clostridium perfringens; Clostridium botulinum; Clostridium sporogenes; Megasphaera stantonii; Roseburia hominis; Paeniclostridium sordellii; Eggerthella lenta; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Parvimonas micra; Peptoniphilus harei; Massilistercora timonensis	1183.00	0.00	1183.00	24.87	392.37	128.89	0	0	0	0	N/A	N/A		1497; 1527; 1497; 1497; 1497; 1497; 1497; 1497; 1527; 1497; 2823; 768; 2739; 1263; 1263; 1296; 1545; 1563; 1263; 1563; 1353; 1563; 1572; 1482; 1677; 1224; 1224; 2217; 2217; 2217; 1629; 1629; 1653; 1584; 1584; 1518; 1830; 1581; 1401; 1461; 1494	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanG	3002909	protein homolog model	Resistomes & Variants	36	37.57 - 91.4	YES	NO	Anaerostipes hadrus; Cronobacter dublinensis; Dysosmobacter welbionis; Paeniclostridium sordellii; Enterobacter cloacae; Escherichia coli; Klebsiella pneumoniae; Faecalibacterium prausnitzii; Erysipelatoclostridium ramosum; Klebsiella oxytoca; Enterobacter hormaechei; Klebsiella quasipneumoniae; Streptococcus agalactiae	806.00	0.00	806.00	36.62	395.72	165.25	0	0	0	0	N/A	N/A		1062; 1062; 1062; 1062; 1062; 1062; 1062; 1062; 1062; 1062; 1101; 1047; 1065; 1068; 1065; 1143; 1095; 1095; 1095; 1098; 1098; 1098; 1098; 1095; 1098; 1095; 1098; 1098; 1098; 1050; 1050; 1098; 1098; 1305; 1131; 1050	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
