ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
tet(Q)	3000191	protein homolog model	CARD; Resistomes & Variants	52	31.06 - 100.0	YES	no data	Bacteroides fragilis; Anaerostipes hadrus; Bacteroides ovatus; Bacteroides thetaiotaomicron; Phocaeicola dorei; Phocaeicola massiliensis; Phocaeicola vulgatus; Bacteroides caccae; Collinsella aerofaciens; Prevotella intermedia; Enterocloster clostridioformis; Prevotella bivia; Parabacteroides distasonis	11882.00	0.00	11882.00	39.95	715.85	176.45	0	0	0	0	N/A	N/A		1974; 2643; 2643; 2643; 2643; 2643; 2643; 2643; 1995; 1974; 1995; 1926; 639; 1974; 1926; 1974; 759; 1926; 1974; 1926; 555; 1926; 2004; 1926; 1974; 1926; 1926; 1515; 1995; 1974; 1974; 1974; 1926; 1926; 948; 1947; 1218; 1926; 1644; 1974; 1926; 2817; 1926; 1152; 1947; 1926; 903; 1926; 573; 1302; 1995; 1995	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	24.00	0.00	24.00	90.56	1103.00	165.71	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	4810.00	0.00	4810.00	100.00	996.00	181.37	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
vatH	3002845	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	18.00	0.00	18.00	16.44	107.00	102.67	0	0	0	0	N/A	N/A		651	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	18.00	0.00	18.00	6.89	63.00	56.61	0	0	0	0	N/A	N/A		915	TLA beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
QnrD2	3002789	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	1.00	0.00	1.00	18.45	119.00	191.00	0	0	0	0	N/A	N/A		645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
tetA(P)	3000180	protein homolog model	CARD; Resistomes & Variants	2	97.79 - 100.0	no data	no data	Clostridium perfringens; Jeotgalibaca arthritidis	36.00	0.00	36.00	73.23	913.00	165.19	0	0	0	0	N/A	N/A		1263; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
dfrF	3002867	protein homolog model	CARD; Resistomes & Variants	2	99.39 - 100.0	no data	no data	Enterococcus faecalis; Enterococcus faecium	124.00	0.00	124.00	92.72	459.00	165.47	0	0	0	0	N/A	N/A		495; 495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
SLB-1	3003556	protein homolog model	CARD	1	100.0	no data	no data	Shewanella livingstonensis	2.00	0.00	2.00	5.20	39.00	40.00	0	0	0	0	N/A	N/A		750	SHW beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
OXA-347	3001777	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	167.00	0.00	167.00	100.00	825.00	177.01	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-421	3003117	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter pittii	1.00	0.00	1.00	3.53	29.00	68.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-213-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
vatE	3002844	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	3.00	0.00	3.00	8.06	52.00	56.00	0	0	0	0	N/A	N/A		645	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
mecB	3003440	protein homolog model	CARD; Resistomes & Variants	2	98.52 - 100.0	YES	no data	Macrococcus caseolyticus; Macrococcus canis	22.00	0.00	22.00	14.91	302.00	70.37	0	0	0	0	N/A	N/A		2025; 2025	methicillin resistant PBP2	penicillin beta-lactam	antibiotic target replacement
lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	4.00	0.00	4.00	13.03	260.00	84.25	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
vanS gene in vanE cluster	3002935	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	1.00	0.00	1.00	2.79	30.00	34.00	0	0	0	0	N/A	N/A		1074	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanR gene in vanG cluster	3002926	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	25.00	0.00	25.00	72.60	514.00	96.88	0	0	0	0	N/A	N/A		708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
tet(M)	3000186	protein homolog model	CARD; Resistomes & Variants	22	91.4 - 100.0	YES	YES	Erysipelothrix rhusiopathiae; Streptococcus pyogenes; Enterococcus faecalis; Enterococcus faecium; Streptococcus cristatus; Streptococcus dysgalactiae; Streptococcus gordonii; Streptococcus intermedius; Streptococcus mitis; Streptococcus pneumoniae; Streptococcus sanguinis; Streptococcus suis; Escherichia coli; Erysipelatoclostridium ramosum; Neisseria sicca; Gardnerella vaginalis; Gemella haemolysans; Streptococcus agalactiae; Staphylococcus aureus	1004.00	0.00	1004.00	34.51	648.27	167.65	0	0	0	0	N/A	N/A		1920; 1422; 1920; 1920; 774; 1920; 1920; 1920; 1920; 1428; 1926; 1920; 1920; 2022; 1920; 1920; 2022; 1935; 1920; 513; 1926; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
IMP-45	3002236	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	4.34	32.00	34.00	0	0	0	0	N/A	N/A		738	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
LRA-7	3002486	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	2.00	0.00	2.00	5.61	51.00	68.00	0	0	0	0	N/A	N/A		909	subclass B3 LRA beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
LnuP	3004601	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	20.00	0.00	20.00	100.00	501.00	183.05	0	0	0	0	N/A	N/A		501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	3.00	0.00	3.00	5.01	43.00	45.00	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
OXA-480	3003637	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	6.00	0.00	6.00	5.82	48.00	56.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
vanR gene in vanI cluster	3003728	protein homolog model	CARD	1	100.0	no data	no data	Desulfitobacterium hafniense	17.00	0.00	17.00	59.08	413.00	93.71	0	0	0	0	N/A	N/A		699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
optrA	3003746	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	3.00	0.00	3.00	18.14	357.00	189.33	0	0	0	0	N/A	N/A		1968	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection
apmA	3003918	protein homolog model	CARD; Resistomes & Variants	2	95.62 - 100.0	no data	no data	Staphylococcus aureus; Enterococcus faecalis; Enterococcus faecium	3.00	0.00	3.00	9.09	75.00	112.50	0	0	0	0	N/A	N/A		825; 825	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
Erm(47)	3003908	protein homolog model	CARD	1	100.0	no data	no data	Helcococcus kunzii	1.00	0.00	1.00	3.51	26.00	34.00	0	0	0	0	N/A	N/A		741	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target alteration
cfr(B)	3004649	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	24.00	0.00	24.00	66.48	698.00	184.42	0	0	0	0	N/A	N/A		1050	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target alteration
efrB	3003949	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	6.00	0.00	6.00	53.96	586.00	156.67	0	0	0	0	N/A	N/A		1086	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux
tva(A)	3004730	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira hyodysenteriae	3.00	0.00	3.00	5.80	88.00	37.67	0	0	0	0	N/A	N/A		1518	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	pleuromutilin antibiotic	antibiotic target protection
MCR-4.4	3004696	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.00	0.00	4.00	9.78	159.00	75.25	0	0	0	0	N/A	N/A		1626	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
Klebsiella pneumoniae acrA	3004041	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	7.00	0.00	7.00	60.74	727.00	168.71	0	0	0	0	N/A	N/A		1197	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
tetA(46)	3004032	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	16.00	0.00	16.00	64.52	1113.00	157.12	0	0	0	0	N/A	N/A		1725	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	8.00	0.00	8.00	40.93	711.00	135.88	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
mecD	3004185	protein homolog model	CARD	1	100.0	no data	no data	Macrococcus caseolyticus	35.00	0.00	35.00	9.23	188.00	66.17	0	0	0	0	N/A	N/A		2037	methicillin resistant PBP2	penicillin beta-lactam	antibiotic target replacement
ANT(3'')-IIb	3004090	protein homolog model	CARD; Resistomes & Variants	2	46.92 - 100.0	YES	no data	Acinetobacter sp.; Acinetobacter junii	10.00	0.00	10.00	5.69	45.00	53.75	0	0	0	0	N/A	N/A		792; 792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
BAT-1	3004747	protein homolog model	CARD	1	100.0	no data	no data	Bacillus atrophaeus	2.00	0.00	2.00	3.97	32.00	52.00	0	0	0	0	N/A	N/A		807	BAT Beta-lactamase	cephalosporin	antibiotic inactivation
ARL-6	3004739	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus arlettae	37.00	0.00	37.00	6.83	58.00	67.68	0	0	0	0	N/A	N/A		849	ARL Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
CIA-1	3004768	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	1.00	0.00	1.00	1.93	17.00	23.00	0	0	0	0	N/A	N/A		879	CIA beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
mphJ	3004544	protein homolog model	CARD	1	100.0	no data	no data	Brevibacillus brevis	8.00	0.00	8.00	6.47	60.00	68.25	0	0	0	0	N/A	N/A		927	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
dfrA18	3004568	protein homolog model	CARD	1	100.0	no data	no data	Vibrio cholerae	13.00	0.00	13.00	8.47	47.00	56.00	0	0	0	0	N/A	N/A		555	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
eptB	3005047	protein homolog model	CARD; Resistomes & Variants	6	88.61 - 100.0	YES	no data	Klebsiella pneumoniae; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella michiganensis	12.00	0.00	12.00	11.84	200.67	145.11	0	0	0	0	N/A	N/A		1725; 1692; 1674; 1689; 1689; 1689	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
CDD-2	3006905	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	4.00	0.00	4.00	18.34	170.00	58.75	0	0	0	0	N/A	N/A		927	CDD beta-lactamase	carbapenem	antibiotic inactivation
CfiA17	3006909	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	2.00	0.00	2.00	9.20	69.00	167.50	0	0	0	0	N/A	N/A		750	CfiA beta-lactamase	carbapenem	antibiotic inactivation
CSP-1	3006871	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	3.00	0.00	3.00	4.47	41.00	46.33	0	0	0	0	N/A	N/A		918	CSP beta-lactamase	cephalosporin	antibiotic inactivation
EAM-1	3006873	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	2.00	0.00	2.00	10.14	97.00	57.00	0	0	0	0	N/A	N/A		957	EAM beta-lactamase	carbapenem	antibiotic inactivation
IMP-63	3005470	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas	28.00	0.00	28.00	19.57	145.00	76.86	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
OXA-785	3005988	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter jejuni	1.00	0.00	1.00	4.42	33.00	67.00	0	0	0	0	N/A	N/A		747	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-947	3006126	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lactucae	4.00	0.00	4.00	5.92	49.00	62.50	0	0	0	0	N/A	N/A		828	OXA beta-lactamase; OXA-679-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
PSV-1	3006978	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	2.00	0.00	2.00	8.22	73.00	61.50	0	0	0	0	N/A	N/A		888	PSV beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
SGM-7	3006993	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.00	0.00	1.00	2.45	24.00	34.00	0	0	0	0	N/A	N/A		981	SGM beta-lactamase	carbapenem	antibiotic inactivation
vanXY gene in vanC cluster	3002966	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	1.00	0.00	1.00	2.97	17.00	23.00	0	0	0	0	N/A	N/A		573	glycopeptide resistance gene cluster; vanXY	glycopeptide antibiotic	antibiotic target alteration
fexB	3007019	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	3.00	0.00	3.00	20.43	288.00	146.00	0	0	0	0	N/A	N/A		1410	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD; Resistomes & Variants	37	84.09 - 100.0	YES	no data	Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Bifidobacterium breve; Bifidobacterium dentium; Parascardovia denticolens; Gardnerella vaginalis	1549.00	0.00	1549.00	22.35	800.62	110.95	0	0	0	0	N/A	N/A		3561; 3561; 3561; 3561; 3561; 3633; 3684; 3684; 3705; 3633; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3570; 3570; 3570; 3564; 3564; 3561; 3561; 3552; 3567; 3567; 3585; 3585; 3636; 3585; 3585; 3636; 3585	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
salB	3007026	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus lentus	14.00	0.00	14.00	18.33	298.00	64.64	0	0	0	0	N/A	N/A		1626	sal-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
FosM3	3007099	protein homolog model	CARD	1	100.0	no data	no data	Bacillus phocaeensis	1.00	0.00	1.00	6.29	27.00	34.00	0	0	0	0	N/A	N/A		429	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
nimG	3007109	protein homolog model	CARD	1	100.0	no data	no data	Alistipes sp.	9.00	0.00	9.00	7.07	35.00	42.78	0	0	0	0	N/A	N/A		495	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
tet(O/32/O)	3007119	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	32.00	0.00	32.00	69.84	1341.00	189.22	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(O/W/O)	3007123	protein homolog model	CARD	1	100.0	no data	no data	Megasphaera elsdenii	9.00	0.00	9.00	35.42	680.00	175.00	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vanX gene in vanP cluster	3007190	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	6.00	0.00	6.00	7.22	44.00	56.33	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
mef(C)	3003745	protein homolog model	CARD	1	100.0	no data	no data	Photobacterium damselae	1.00	0.00	1.00	1.39	17.00	23.00	0	0	0	0	N/A	N/A		1224	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic	antibiotic efflux
mef(E)	3000614	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	3.00	0.00	3.00	25.08	304.00	132.67	0	0	0	0	N/A	N/A		1212	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
mef(F)	3007044	protein homolog model	CARD	1	100.0	no data	no data	Macrococcus canis	2.00	0.00	2.00	19.93	238.00	191.00	0	0	0	0	N/A	N/A		1194	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
Clostridium sporogenes cplR	3007645	protein homolog model	CARD	1	100.0	no data	no data	Clostridium sporogenes	24.00	0.00	24.00	8.92	148.00	81.29	0	0	0	0	N/A	N/A		1659	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; antibiotic without defined classification; pleuromutilin antibiotic	antibiotic target protection
IreK	3007678	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	18.00	0.00	18.00	59.48	1283.00	183.00	0	0	0	0	N/A	N/A		2157	Serine/threonine kinases	cephalosporin	reduced permeability to antibiotic
MdtQ	3007682	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	6.00	0.00	6.00	42.50	612.00	175.50	0	0	0	0	N/A	N/A		1440	Outer Membrane Porin (Opr)	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic
Clostridioides difficile cplR	3007637	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	18.00	0.00	18.00	17.30	286.00	84.33	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; nucleoside antibiotic	antibiotic target protection
CARB-57	3007836	protein homolog model	CARD	1	100.0	no data	no data	Vibrio diabolicus	3.00	0.00	3.00	3.76	32.00	56.33	0	0	0	0	N/A	N/A		852	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation
CHM-1	3007855	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	1.00	0.00	1.00	3.29	25.00	34.00	0	0	0	0	N/A	N/A		759	CHM beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
CME-3	3008084	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia anophelis	2.00	0.00	2.00	3.33	30.00	34.00	0	0	0	0	N/A	N/A		900	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation
CTX-M-254	3008143	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	13.58	119.00	191.00	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
IMP-100	3008215	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	3.37	25.00	34.00	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
OXA-1072	3008490	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.00	0.00	4.00	6.18	51.00	56.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
OXA-1189	3008605	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	2.00	0.00	2.00	3.65	30.00	56.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-213-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
OXA-1137	3008555	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lactucae	3.00	0.00	3.00	4.26	35.00	56.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-213-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
OXA-981	3008758	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter gerneri	4.00	0.00	4.00	8.45	71.00	36.75	0	0	0	0	N/A	N/A		840	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
AAC(6')-Ig	3002554	protein homolog model	Resistomes & Variants	1	97.24	NO	NO	Acinetobacter haemolyticus	2.00	0.00	2.00	4.11	18.00	34.00	0	0	0	0	N/A	N/A		438	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
sul2	3000412	protein homolog model	Resistomes & Variants	4	99.26 - 100.0	YES	NO	Actinobacillus pleuropneumoniae; Bacteroides ovatus; Escherichia coli; Klebsiella pneumoniae	144.00	0.00	144.00	78.72	671.25	180.22	0	0	0	0	N/A	N/A		915; 870; 816; 816	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
