ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
Klebsiella pneumoniae acrA	3004041	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	8.00	0.00	8.00	51.55	617.00	181.62	0	0	0	0	N/A	N/A		1197	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
OXA-306	3001761	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	2.00	0.00	2.00	3.46	29.00	34.00	0	0	0	0	N/A	N/A		837	OXA beta-lactamase; OXA-286-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
BPU-1	3004759	protein homolog model	CARD; Resistomes & Variants	2	93.89 - 100.0	no data	no data	Bacillus pumilus	52.00	0.00	52.00	7.35	61.00	67.52	0	0	0	0	N/A	N/A		789; 894	BPU Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
IMP-68	3005019	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	3.39	25.00	34.00	0	0	0	0	N/A	N/A		738	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
CDD-2	3006905	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	4.00	0.00	4.00	4.53	42.00	56.00	0	0	0	0	N/A	N/A		927	CDD beta-lactamase	carbapenem	antibiotic inactivation
CDD-1	3006904	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	2.00	0.00	2.00	4.37	41.00	56.00	0	0	0	0	N/A	N/A		939	CDD beta-lactamase	carbapenem	antibiotic inactivation
PSV-1	3006978	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	15.00	0.00	15.00	8.33	74.00	89.87	0	0	0	0	N/A	N/A		888	PSV beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
vanXY gene in vanC cluster	3002966	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	5.00	0.00	5.00	68.41	392.00	187.60	0	0	0	0	N/A	N/A		573	glycopeptide resistance gene cluster; vanXY	glycopeptide antibiotic	antibiotic target alteration
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD; Resistomes & Variants	74	84.09 - 100.0	YES	no data	Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Bifidobacterium breve; Bifidobacterium dentium; Parascardovia denticolens; Gardnerella vaginalis	15334.00	0.00	15334.00	23.58	847.88	163.25	0	0	0	0	N/A	N/A		3561; 3561; 3561; 3561; 3561; 3684; 3684; 3564; 3684; 3633; 3684; 3564; 3684; 3633; 3684; 3633; 3684; 3705; 3684; 3684; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3570; 3570; 3570; 3564; 3564; 3639; 3561; 3561; 3561; 3561; 3561; 3561; 3552; 3585; 3585; 3636; 3567; 3585; 3585	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
vanT gene in vanC cluster	3002970	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	52.00	0.00	52.00	95.47	2002.00	185.71	0	0	0	0	N/A	N/A		2097	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
vanW gene in vanG cluster	3002965	protein homolog model	CARD; Resistomes & Variants	5	27.92 - 100.0	YES	no data	Enterococcus faecalis; Streptococcus mitis; Proteus penneri; Providencia stuartii; Streptococcus agalactiae	14.00	0.00	14.00	5.80	42.00	44.27	0	0	0	0	N/A	N/A		846; 837; 567; 819; 741	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanR gene in vanO cluster	3002930	protein homolog model	CARD; Resistomes & Variants	2	90.54 - 100.0	no data	no data	Rhodococcus hoagii; Mycolicibacterium fortuitum	172.00	0.00	172.00	35.81	250.00	87.94	0	0	0	0	N/A	N/A		702; 696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
tet(O/32/O)	3007119	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	35.00	0.00	35.00	27.66	531.00	177.40	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
IreK	3007678	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	292.00	0.00	292.00	100.00	2157.00	182.40	0	0	0	0	N/A	N/A		2157	Serine/threonine kinases	cephalosporin	reduced permeability to antibiotic
MdtQ	3007682	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	4.00	0.00	4.00	27.50	396.00	135.25	0	0	0	0	N/A	N/A		1440	Outer Membrane Porin (Opr)	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic
mef(C)	3003745	protein homolog model	CARD	1	100.0	no data	no data	Photobacterium damselae	1.00	0.00	1.00	2.53	31.00	56.00	0	0	0	0	N/A	N/A		1224	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic	antibiotic efflux
DYB-1	3007861	protein homolog model	CARD	1	100.0	no data	no data	Dysgonomonas capnocytophagoides	16.00	0.00	16.00	95.62	720.00	177.50	0	0	0	0	N/A	N/A		753	DYB beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
tet(65)	3007838	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium sp.	8.00	0.00	8.00	3.91	45.00	56.00	0	0	0	0	N/A	N/A		1152	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CMH-17	3008092	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	1.00	0.00	1.00	10.38	119.00	191.00	0	0	0	0	N/A	N/A		1146	CMH beta-lactamase	cephalosporin	antibiotic inactivation
IMP-100	3008215	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	3.91	29.00	56.00	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
KLUG-1	3008230	protein homolog model	CARD	1	100.0	no data	no data	Kluyvera georgiana	2.00	0.00	2.00	21.80	191.00	178.00	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
PEN-A10	3008988	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia multivorans	12.00	0.00	12.00	2.97	27.00	41.00	0	0	0	0	N/A	N/A		909	PEN-A beta-lactamase	penicillin beta-lactam	antibiotic inactivation
qacG	3007015	protein homolog model	Resistomes & Variants	11	31.07 - 67.14	YES	NO	Actinobacillus pleuropneumoniae; Bacillus subtilis; Morganella morganii; Klebsiella pneumoniae; Staphylococcus haemolyticus; Pseudomonas aeruginosa; Haemophilus parainfluenzae; Rhodopseudomonas palustris	297.00	0.00	297.00	30.36	137.64	115.44	0	0	0	0	N/A	N/A		330; 360; 333; 1314; 504; 342; 330; 330; 330; 330; 330	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
tet(45)	3003196	protein homolog model	Resistomes & Variants	9	74.93 - 91.27	YES	YES	Actinobacillus pleuropneumoniae; Bacillus cereus; Streptococcus agalactiae; Streptococcus gallolyticus; Streptococcus pasteurianus; Streptococcus suis; Enterococcus faecium; Enterococcus faecalis; Staphylococcus aureus	2284.00	0.00	2284.00	41.27	568.89	158.27	0	0	0	0	N/A	N/A		1401; 1377; 1377; 1392; 1377; 1404; 1404; 1131; 1383	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanT gene in vanG cluster	3002972	protein homolog model	Resistomes & Variants	34	30.56 - 48.11	YES	NO	Anaerostipes hadrus; Anaerococcus mediterraneensis; Campylobacter ureolyticus; Brevibacillus laterosporus; Clostridium botulinum; Collinsella aerofaciens; Lactobacillus gasseri; Streptococcus intermedius; Providencia alcalifaciens; Proteus vulgaris; Faecalibacterium prausnitzii; Streptococcus gallolyticus; Streptococcus pasteurianus; Streptococcus sobrinus; Erysipelatoclostridium ramosum; Fusobacterium nucleatum; Streptococcus lutetiensis; Parvimonas micra; Providencia stuartii; Massilistercora timonensis; Enterococcus faecalis; Streptococcus pneumoniae	2588.00	0.00	2588.00	33.34	373.00	133.69	0	0	0	0	N/A	N/A		1164; 1119; 1131; 1299; 1164; 1146; 1146; 1146; 1146; 1146; 1146; 1146; 1131; 1131; 1107; 1083; 1113; 1203; 1197; 1200; 1107; 1104; 1131; 1074; 1065; 1074; 1065; 1107; 1107; 1182; 1083; 1170; 1116; 1104	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
tet(Q)	3000191	protein homolog model	Resistomes & Variants	4	31.38 - 99.75	NO	NO	Anaerostipes hadrus; Collinsella aerofaciens; Phocaeicola dorei	1186.00	0.00	1186.00	31.48	625.25	158.01	0	0	0	0	N/A	N/A		2643; 2004; 1926; 1302	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(40)	3000567	protein homolog model	Resistomes & Variants	4	97.54 - 98.52	YES	NO	Anaerostipes hadrus; Enterococcus faecium; Fusobacterium necrophorum; Streptococcus equi; Streptococcus suis; Faecalibacterium prausnitzii; Enterocloster clostridioformis	81.00	0.00	81.00	56.93	696.50	185.21	0	0	0	0	N/A	N/A		1221; 1239; 1221; 1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tet(M)	3000186	protein homolog model	Resistomes & Variants	31	91.4 - 100.0	YES	YES	Anaerostipes hadrus; Enterococcus faecalis; Enterococcus faecium; Streptococcus cristatus; Streptococcus dysgalactiae; Streptococcus gordonii; Streptococcus intermedius; Streptococcus mitis; Streptococcus pneumoniae; Streptococcus pyogenes; Streptococcus sanguinis; Streptococcus suis; Escherichia coli; Streptococcus anginosus; Enterococcus hirae; Streptococcus gallolyticus; Streptococcus lutetiensis; Streptococcus pasteurianus; Erysipelatoclostridium ramosum; Streptococcus pseudopneumoniae; Gardnerella vaginalis; Gemella haemolysans	2190.00	0.00	2190.00	36.66	691.45	179.15	0	0	0	0	N/A	N/A		1920; 1920; 1935; 1920; 1920; 1920; 1935; 1920; 1920; 1920; 1173; 1548; 666; 963; 1428; 1407; 1920; 1920; 2022; 1920; 1920; 2022; 1674; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
qacJ	3007014	protein homolog model	Resistomes & Variants	18	35.58 - 64.06	YES	YES	Aeromonas hydrophila; Acinetobacter johnsonii; Clostridium butyricum; Pseudomonas stutzeri; Escherichia coli; Klebsiella pneumoniae; Salmonella enterica; Klebsiella oxytoca; Enterobacter hormaechei; Proteus mirabilis; Staphylococcus equorum; Staphylococcus aureus	152.00	0.00	152.00	19.69	85.44	93.32	0	0	0	0	N/A	N/A		333; 330; 366; 321; 333; 333; 312; 423; 333; 345; 492; 720; 339; 330; 513; 327; 324; 447	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
aadA	3002601	protein homolog model	Resistomes & Variants	3	99.58 - 100.0	YES	YES	Acinetobacter baumannii; Acinetobacter indicus; Acinetobacter junii; Acinetobacter towneri; Aeromonas caviae; Aeromonas hydrophila; Aeromonas veronii; Alcaligenes faecalis; Bordetella trematum; Citrobacter freundii; Citrobacter youngae; Enterobacter asburiae; Enterobacter kobei; Escherichia coli; Enterobacter cloacae; Enterobacter hormaechei; Proteus vulgaris; Escherichia fergusonii; Klebsiella michiganensis; Klebsiella pneumoniae; Klebsiella quasipneumoniae; Morganella morganii; Proteus mirabilis; Providencia heimbachae; Providencia rettgeri; Providencia stuartii; Pseudomonas aeruginosa; Pseudomonas putida; Salmonella enterica; Shigella dysenteriae; Shigella flexneri; Shigella sonnei; Trueperella pyogenes	171.00	0.00	171.00	62.15	535.67	168.91	0	0	0	0	N/A	N/A		792; 828; 933	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
Erm(42)	3003106	protein homolog model	Resistomes & Variants	1	99.67	YES	NO	Alcaligenes faecalis	21.00	0.00	21.00	5.52	50.00	56.52	0	0	0	0	N/A	N/A		906	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
adeF	3000777	protein homolog model	Resistomes & Variants	32	40.64 - 99.14	YES	NO	Acinetobacter nosocomialis; Aeromonas caviae; Cronobacter dublinensis; Burkholderia cepacia; Bacteroides fragilis; Enterobacter cloacae; Enterobacter asburiae; Klebsiella aerogenes; Klebsiella pneumoniae; Serratia rubidaea; Enterobacter roggenkampii; Klebsiella oxytoca; Proteus mirabilis; Pseudomonas fluorescens; Klebsiella quasipneumoniae; Serratia marcescens	307.00	0.00	307.00	7.53	238.19	150.81	0	0	0	0	N/A	N/A		2127; 2364; 3150; 2493; 3180; 3237; 3114; 3114; 3114; 3114; 3114; 3114; 3147; 3147; 3147; 3147; 3147; 2910; 3147; 3249; 3336; 3117; 3147; 3147; 3114; 3159; 3159; 3099; 3147; 3114; 3132; 3135	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
OXA-464	3003620	protein homolog model	Resistomes & Variants	1	98.81	NO	NO	Aliarcobacter butzleri	13.00	0.00	13.00	18.64	142.00	54.54	0	0	0	0	N/A	N/A		762	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
aad(6)	3002628	protein homolog model	Resistomes & Variants	2	97.78 - 100.0	YES	YES	Aliarcobacter butzleri; Bacteroides fragilis; Bacteroides thetaiotaomicron; Bifidobacterium breve; Campylobacter coli; Campylobacter jejuni; Enterocloster clostridioformis; Enterococcus avium; Enterococcus faecalis; Enterococcus faecium; Staphylococcus aureus; Staphylococcus epidermidis; Enterococcus hirae; Eubacterium limosum; Listeria monocytogenes; Parabacteroides distasonis; Phocaeicola vulgatus; Streptococcus suis; Staphylococcus hominis; Staphylococcus pseudintermedius; Staphylococcus saprophyticus; Staphylococcus warneri; Streptococcus agalactiae; Streptococcus anginosus; Streptococcus equi; Streptococcus gallolyticus; Streptococcus mutans; Streptococcus pasteurianus; Streptococcus pyogenes	145.00	0.00	145.00	69.76	620.50	160.85	0	0	0	0	N/A	N/A		909; 840	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
catB3	3002676	protein homolog model	Resistomes & Variants	1	79.02	NO	NO	Achromobacter xylosoxidans	1.00	0.00	1.00	3.07	20.00	46.00	0	0	0	0	N/A	N/A		651	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
