ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CGB-1	3000841	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium gleum	4.00	0.00	4.00	5.76	42.00	31.25	0	0	0	0	N/A	N/A		729	CGB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
AAC(6')-Iv	3002566	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	1.00	0.00	1.00	5.22	23.00	34.00	0	0	0	0	N/A	N/A		441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
catP	3002686	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	72.00	0.00	72.00	100.00	624.00	175.19	0	0	0	0	N/A	N/A		624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
vanR gene in vanD cluster	3002923	protein homolog model	CARD; Resistomes & Variants	6	90.09 - 100.0	YES	no data	Enterococcus faecium; Blautia producta; Enterocloster clostridioformis; Enterococcus faecalis; Ruthenibacterium lactatiformans	91.00	0.00	91.00	24.47	171.00	113.10	0	0	0	0	N/A	N/A		699; 699; 699; 699; 696; 699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
lnuC	3002837	protein homolog model	CARD; Resistomes & Variants	4	97.56 - 100.0	no data	no data	Streptococcus agalactiae; Campylobacter coli; Glaesserella parasuis; Lactobacillus crispatus	4814.00	0.00	4814.00	76.63	417.75	186.03	0	0	0	0	N/A	N/A		495; 522; 564; 564	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
OXA-347	3001777	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	518.00	0.00	518.00	100.00	825.00	157.75	0	0	0	0	N/A	N/A		825	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
dfrA20	3003016	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	8.00	0.00	8.00	10.39	53.00	67.00	0	0	0	0	N/A	N/A		510	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
vanC	3000368	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	6.00	0.00	6.00	13.86	143.00	57.83	0	0	0	0	N/A	N/A		1032	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
vgaALC	3002830	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	4.00	0.00	4.00	5.16	81.00	67.25	0	0	0	0	N/A	N/A		1569	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
CTX-M-122	3001981	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	21.69	190.00	180.50	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
SLB-1	3003556	protein homolog model	CARD	1	100.0	no data	no data	Shewanella livingstonensis	1.00	0.00	1.00	2.93	22.00	34.00	0	0	0	0	N/A	N/A		750	SHW beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
TEM-195	3001055	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	2.00	0.00	2.00	27.64	238.00	191.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
IMP-12	3002203	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas putida	29.00	0.00	29.00	10.80	80.00	79.55	0	0	0	0	N/A	N/A		741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
ANT(6)-Ib	3002629	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	31.00	0.00	31.00	84.85	728.00	127.03	0	0	0	0	N/A	N/A		858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
tetA(P)	3000180	protein homolog model	CARD; Resistomes & Variants	2	97.79 - 100.0	no data	no data	Clostridium perfringens; Jeotgalibaca arthritidis	179.00	0.00	179.00	91.25	1135.00	155.08	0	0	0	0	N/A	N/A		1263; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ermZ	3004605	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	53.00	0.00	53.00	10.13	86.00	79.25	0	0	0	0	N/A	N/A		849	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	1216.00	0.00	1216.00	100.00	1218.00	170.75	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
APH(3')-IIIa	3002647	protein homolog model	CARD; Resistomes & Variants	4	98.86 - 100.0	YES	no data	Campylobacter coli; Staphylococcus pseudintermedius; Streptococcus suis; Enterococcus faecalis	233.00	0.00	233.00	47.02	430.00	182.78	0	0	0	0	N/A	N/A		795; 1104; 807; 795	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
tet(40)	3000567	protein homolog model	CARD; Resistomes & Variants	6	97.54 - 100.0	YES	no data	uncultured bacterium; Anaerostipes hadrus; Faecalibacterium prausnitzii; Roseburia hominis; Enterocloster clostridioformis	547.00	0.00	547.00	60.69	742.00	185.48	0	0	0	0	N/A	N/A		1221; 1221; 1221; 1239; 1221; 1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAC(6')-Iai	3002575	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.00	0.00	2.00	14.11	80.00	57.00	0	0	0	0	N/A	N/A		567	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
DHA-21	3002152	protein homolog model	CARD	1	100.0	no data	no data	Morganella morganii	4.00	0.00	4.00	20.88	238.00	135.50	0	0	0	0	N/A	N/A		1140	DHA beta-lactamase	cephalosporin	antibiotic inactivation
tet(M)	3000186	protein homolog model	CARD; Resistomes & Variants	25	90.77 - 100.0	YES	YES	Erysipelothrix rhusiopathiae; Enterococcus faecalis; Enterococcus hirae; Listeria innocua; Listeria monocytogenes; Staphylococcus aureus; Streptococcus agalactiae; Streptococcus cristatus; Streptococcus porcinus; Streptococcus pyogenes; Streptococcus sanguinis; Streptococcus anginosus; Streptococcus constellatus; Streptococcus gordonii; Streptococcus intermedius; Escherichia coli; Escherichia fergusonii; Klebsiella pneumoniae; Salmonella enterica; Enterococcus faecium; Fusobacterium nucleatum; Gardnerella vaginalis; Gemella haemolysans; Streptococcus pneumoniae	1268.00	0.00	1268.00	23.72	450.52	169.43	0	0	0	0	N/A	N/A		1920; 1920; 1920; 1920; 1920; 1920; 1920; 774; 1920; 1920; 1290; 1020; 1428; 1920; 2022; 2022; 1935; 1080; 1920; 1920; 1920; 1920; 1920; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
LRA-13	3002484	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	2.00	0.00	2.00	1.53	28.00	34.00	0	0	0	0	N/A	N/A		1830	class C LRA beta-lactamase; class D LRA beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
CTX-M-134	3001992	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	16.00	0.00	16.00	79.11	693.00	181.31	0	0	0	0	N/A	N/A		876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
spd	3002631	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	4.00	0.00	4.00	17.05	132.00	42.25	0	0	0	0	N/A	N/A		774	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
tet(38)	3000565	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	2.00	0.00	2.00	10.35	140.00	128.00	0	0	0	0	N/A	N/A		1353	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
LnuP	3004601	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	66.00	0.00	66.00	100.00	501.00	182.11	0	0	0	0	N/A	N/A		501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
PEDO-2	3003714	protein homolog model	CARD	1	100.0	no data	no data	Pedobacter sp.	6.00	0.00	6.00	7.46	64.00	69.83	0	0	0	0	N/A	N/A		858	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
otr(C)	3002894	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces rimosus	2.00	0.00	2.00	12.78	135.00	35.50	0	0	0	0	N/A	N/A		1056	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanS gene in vanD cluster	3002934	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	2.00	0.00	2.00	30.77	216.00	133.00	0	0	0	0	N/A	N/A		702	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Erm(47)	3003908	protein homolog model	CARD	1	100.0	no data	no data	Helcococcus kunzii	2.00	0.00	2.00	3.51	26.00	34.00	0	0	0	0	N/A	N/A		741	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target alteration
OXA-296	3001751	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter bohemicus	1.00	0.00	1.00	2.57	22.00	45.00	0	0	0	0	N/A	N/A		855	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
tetA(46)	3004032	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	23.00	0.00	23.00	65.51	1130.00	150.52	0	0	0	0	N/A	N/A		1725	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetB(60)	3004036	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	2.00	0.00	2.00	12.07	210.00	114.50	0	0	0	0	N/A	N/A		1740	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
tetB(46)	3004033	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus australis	18.00	0.00	18.00	72.88	1266.00	167.61	0	0	0	0	N/A	N/A		1737	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
BCL-1	3004749	protein homolog model	CARD	1	100.0	no data	no data	Alkalihalobacillus clausii	6.00	0.00	6.00	8.33	77.00	67.33	0	0	0	0	N/A	N/A		924	BCL Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
BRO-1	3004761	protein homolog model	CARD	1	100.0	no data	no data	Moraxella catarrhalis	21.00	0.00	21.00	7.22	68.00	67.52	0	0	0	0	N/A	N/A		942	BRO Beta-lactamase	penicillin beta-lactam	antibiotic inactivation
kamB	3004102	protein homolog model	CARD	1	100.0	no data	no data	Streptoalloteichus tenebrarius	7.00	0.00	7.00	7.10	46.00	56.00	0	0	0	0	N/A	N/A		648	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration
ACI-1	3004359	protein homolog model	CARD	1	100.0	no data	no data	Acidaminococcus fermentans	4.00	0.00	4.00	32.63	279.00	123.50	0	0	0	0	N/A	N/A		855	ACI beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
Campylobacter coli chloramphenicol acetyltransferase	3004454	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	11.00	0.00	11.00	86.22	538.00	181.64	0	0	0	0	N/A	N/A		624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
CIA-1	3004768	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	13.00	0.00	13.00	10.81	95.00	82.92	0	0	0	0	N/A	N/A		879	CIA beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
GOB-8	3004815	protein homolog model	CARD	1	100.0	no data	no data	Elizabethkingia meningoseptica	14.00	0.00	14.00	7.67	67.00	55.71	0	0	0	0	N/A	N/A		873	GOB beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
dfrA18	3004568	protein homolog model	CARD	1	100.0	no data	no data	Vibrio cholerae	58.00	0.00	58.00	9.91	55.00	56.00	0	0	0	0	N/A	N/A		555	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
FosL1	3005024	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.00	0.00	1.00	8.03	33.00	56.00	0	0	0	0	N/A	N/A		411	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
TEM-235	3005266	protein homolog model	CARD	1	100.0	no data	no data	mixed culture	2.00	0.00	2.00	27.64	238.00	191.00	0	0	0	0	N/A	N/A		861	TEM beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
CDD-1	3006904	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	1.00	0.00	1.00	2.98	28.00	56.00	0	0	0	0	N/A	N/A		939	CDD beta-lactamase	carbapenem	antibiotic inactivation
CDD-2	3006905	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	12.00	0.00	12.00	16.61	154.00	66.42	0	0	0	0	N/A	N/A		927	CDD beta-lactamase	carbapenem	antibiotic inactivation
CepA-44	3006225	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	1.00	0.00	1.00	1.88	17.00	23.00	0	0	0	0	N/A	N/A		903	CepA beta-lactamase	cephalosporin	antibiotic inactivation
DHA-26	3006467	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	43.00	0.00	43.00	96.14	1096.00	187.42	0	0	0	0	N/A	N/A		1140	DHA beta-lactamase	cephalosporin	antibiotic inactivation
OXA-658	3005873	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter	2.00	0.00	2.00	3.47	25.00	34.00	0	0	0	0	N/A	N/A		720	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-666	3005878	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.00	0.00	1.00	2.92	25.00	46.00	0	0	0	0	N/A	N/A		855	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-752	3005956	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	41.00	0.00	41.00	7.39	61.00	54.68	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
SPR-1	3006996	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	3.00	0.00	3.00	4.24	38.00	56.00	0	0	0	0	N/A	N/A		897	SPR beta-lactamase	carbapenem	antibiotic inactivation
Limosilactobacillus reuteri cat-TC	3002671	protein homolog model	CARD	1	100.0	no data	no data	Limosilactobacillus reuteri	2.00	0.00	2.00	33.19	238.00	191.00	0	0	0	0	N/A	N/A		717	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD; Resistomes & Variants	42	84.09 - 100.0	YES	no data	Bifidobacterium adolescentis; Bifidobacterium animalis; Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium thermophilum; Bifidobacterium breve; Bifidobacterium dentium; Parascardovia denticolens; Gardnerella vaginalis	3633.00	0.00	3633.00	26.34	940.90	150.75	0	0	0	0	N/A	N/A		3561; 3561; 3561; 3561; 3561; 3684; 3633; 3684; 3705; 3684; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3564; 3570; 3570; 3564; 3564; 3561; 3561; 3561; 3552; 3567; 3636; 3585; 3636; 3585	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
vanW gene in vanG cluster	3002965	protein homolog model	CARD; Resistomes & Variants	13	27.61 - 100.0	YES	no data	Enterococcus faecalis; Bacillus cereus; Bacillus thuringiensis; Elizabethkingia anophelis; Streptococcus mitis; Treponema denticola; Pseudomonas brassicacearum; Pseudomonas fluorescens; Pseudomonas aeruginosa; Providencia rettgeri; Proteus columbae	33.00	0.00	33.00	5.35	43.46	57.48	0	0	0	0	N/A	N/A		846; 825; 858; 825; 705; 837; 1338; 483; 894; 816; 822; 816; 825	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Erm(52)	3007041	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	523.00	0.00	523.00	100.00	930.00	183.54	0	0	0	0	N/A	N/A		930	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
mef(H)	3007047	protein homolog model	CARD; Resistomes & Variants	2	100.0	no data	no data	Clostridioides difficile; Enterococcus faecium	691.00	0.00	691.00	96.37	769.50	172.13	0	0	0	0	N/A	N/A		330; 1233	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
nimG	3007109	protein homolog model	CARD	1	100.0	no data	no data	Alistipes sp.	60.00	0.00	60.00	9.09	45.00	44.70	0	0	0	0	N/A	N/A		495	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
tet(O/32/O)	3007119	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	175.00	0.00	175.00	78.54	1508.00	189.68	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vanX gene in vanP cluster	3007190	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	36.00	0.00	36.00	18.56	113.00	55.69	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
IND-17	3007470	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	8.00	0.00	8.00	5.08	37.00	39.62	0	0	0	0	N/A	N/A		729	IND beta-lactamase	carbapenem	antibiotic inactivation
Clostridium perfringes cplR	3007644	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	81.00	0.00	81.00	92.33	1576.00	128.36	0	0	0	0	N/A	N/A		1707	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
Clostridium sporogenes cplR	3007645	protein homolog model	CARD	1	100.0	no data	no data	Clostridium sporogenes	38.00	0.00	38.00	13.86	230.00	54.29	0	0	0	0	N/A	N/A		1659	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; antibiotic without defined classification; pleuromutilin antibiotic	antibiotic target protection
Clostridioides difficile nimB	3007671	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	3.00	0.00	3.00	11.97	56.00	56.00	0	0	0	0	N/A	N/A		468	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
OXA-481	3003638	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.00	0.00	4.00	4.58	37.00	78.00	0	0	0	0	N/A	N/A		807	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
IMI-23	3008210	protein homolog model	CARD	1	100.0	no data	no data	Serratia ureilytica	20.00	0.00	20.00	4.89	43.00	45.10	0	0	0	0	N/A	N/A		879	IMI beta-lactamase	carbapenem	antibiotic inactivation
OXA-1103	3008521	protein homolog model	CARD	1	100.0	no data	no data	Brachyspira pulli	2.00	0.00	2.00	4.69	38.00	56.00	0	0	0	0	N/A	N/A		810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-1191	3008607	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter bereziniae	1.00	0.00	1.00	3.13	26.00	68.00	0	0	0	0	N/A	N/A		831	OXA beta-lactamase; OXA-229-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
OXA-957	3008734	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	3.00	0.00	3.00	3.68	29.00	42.00	0	0	0	0	N/A	N/A		789	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-969	3008746	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter radioresistens	3.00	0.00	3.00	3.77	31.00	42.00	0	0	0	0	N/A	N/A		822	OXA beta-lactamase; OXA-23-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
sul2	3000412	protein homolog model	Resistomes & Variants	4	98.15 - 100.0	NO	NO	Actinobacillus pleuropneumoniae; Bacteroides ovatus; Escherichia coli; Klebsiella pneumoniae; Vibrio cholerae	78.00	0.00	78.00	50.91	446.25	182.92	0	0	0	0	N/A	N/A		915; 870; 816; 816	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
vanG	3002909	protein homolog model	Resistomes & Variants	32	38.14 - 57.51	YES	NO	Anaerostipes hadrus; Bacteroides ovatus; Bacillus pumilus; Paeniclostridium sordellii; Escherichia coli; Faecalibacterium prausnitzii; Erysipelatoclostridium ramosum; Ruthenibacterium lactatiformans	755.00	0.00	755.00	37.33	403.22	164.10	0	0	0	0	N/A	N/A		1062; 1062; 1062; 1062; 1062; 1062; 1062; 1062; 1062; 1062; 1089; 1083; 1065; 1065; 1068; 1104; 1095; 1095; 1095; 1095; 1152; 1101; 1101; 1101; 1101; 1101; 1101; 1101; 1101; 1050; 1050; 1155	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
