#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	tRNA	22141	22214	+	KFELJI_00140	Cys_trna	tRNA-Cys(gca)	SO:0000258
contig_1	tRNA	22228	22314	+	KFELJI_00145	Leu_trna	tRNA-Leu(taa)	SO:0000264
contig_1	cds	22542	23423	+	KFELJI_00150		dihydrodipicolinate synthase family protein	RefSeq:WP_023301076.1, SO:0001217, UniParc:UPI0003140176, UniRef:UniRef100_W9B9X9, UniRef:UniRef50_A0A0C7KBY7, UniRef:UniRef90_A0A0C7KBY7
contig_1	cds	23522	24190	+	KFELJI_00155	yecA	YecA family protein	COG:COG3318, COG:S, RefSeq:WP_004141106.1, SO:0001217, UniParc:UPI00015765B0, UniRef:UniRef100_W9BAK9, UniRef:UniRef50_P0AD05, UniRef:UniRef90_W9BAK9
contig_1	cds	24215	25357	-	KFELJI_00160	tyrP	tyrosine transporter TyrP	COG:COG0814, COG:E, SO:0001217, UniParc:UPI0002410589, UniRef:UniRef100_W1DSY3, UniRef:UniRef50_P0AAD4, UniRef:UniRef90_A0A377UJ02
contig_1	cds	25618	25857	+	KFELJI_00165		DUF2492 domain-containing protein	RefSeq:WP_004175410.1, SO:0001217, UniParc:UPI0001A58664, UniRef:UniRef100_A0A7U7F5H6, UniRef:UniRef50_A6TB58, UniRef:UniRef90_A0A7U7F5H6
contig_1	cds	25893	26390	-	KFELJI_00170	ftnA	non-heme ferritin	COG:COG1528, COG:P, RefSeq:WP_004141101.1, SO:0001217, UniParc:UPI00015765AD, UniRef:UniRef100_A0A7U7F7K0, UniRef:UniRef50_A0A0E8XDE8, UniRef:UniRef90_A0A0J4QN41
contig_1	cds	26798	27436	+	KFELJI_00175	rpiB	Ribose/Galactose Isomerase	COG:COG0698, COG:G, RefSeq:WP_002911528.1, SO:0001217, UniParc:UPI00015765AB, UniRef:UniRef100_W8USZ9, UniRef:UniRef50_A0A6N7S2K7, UniRef:UniRef90_A0A085ASK0
contig_1	cds	27486	28907	-	KFELJI_00180	araJ	MFS transporter	COG:COG2814, COG:G, RefSeq:WP_004148871.1, SO:0001217, UniParc:UPI00015765AA, UniRef:UniRef100_A0A081LV97, UniRef:UniRef50_A0A081LV97, UniRef:UniRef90_A0A081LV97
contig_1	cds	29058	29309	+	KFELJI_00185		DUF2766 domain-containing protein	RefSeq:WP_002911524.1, SO:0001217, UniParc:UPI0001813C28, UniRef:UniRef100_A0A7U7F5I0, UniRef:UniRef50_P0AD11, UniRef:UniRef90_A0A1C1F4F7
contig_1	cds	29347	30909	-	KFELJI_00190	melB	MFS transporter	COG:COG2211, COG:G, KEGG:K16210, RefSeq:WP_004175412.1, SO:0001217, UniParc:UPI00015765A9, UniRef:UniRef100_A0A0E1CC65, UniRef:UniRef50_A0A083ZYB3, UniRef:UniRef90_A0A377XG76
contig_1	cds	31153	31662	-	KFELJI_00195	ftnA	non-heme ferritin-like protein	COG:COG1528, COG:P, KEGG:K02255, RefSeq:WP_004175413.1, SO:0001217, UniParc:UPI0001A58661, UniRef:UniRef100_W1EKT5, UniRef:UniRef50_A0A0P8IBA3, UniRef:UniRef90_A0A0B7G369
contig_1	cds	32554	33534	+	KFELJI_00200	rbsB	sugar ABC transporter substrate-binding protein	COG:COG1879, COG:G, KEGG:K10537, RefSeq:WP_002911518.1, SO:0001217, UniParc:UPI00015764DC, UniRef:UniRef100_A0A7U8Z0E7, UniRef:UniRef50_P02924, UniRef:UniRef90_A0A0J5P7Y8
contig_1	cds	33597	35111	+	KFELJI_00205	araG	L-arabinose ABC transporter ATP-binding protein AraG	COG:COG1129, COG:G, RefSeq:WP_002911516.1, SO:0001217, UniParc:UPI00015764DB, UniRef:UniRef100_A0A0E1CCP7, UniRef:UniRef50_Q1RAN8, UniRef:UniRef90_A0A168PV47
contig_1	cds	35126	36106	+	KFELJI_00210	araH	L-arabinose ABC transporter permease AraH	COG:COG1172, COG:G, RefSeq:WP_002911507.1, SO:0001217, UniParc:UPI00015764DA, UniRef:UniRef100_A0A7U7F5L9, UniRef:UniRef50_A0A3P6L0C7, UniRef:UniRef90_A0A7U7F5L9
contig_1	cds	36268	37056	+	KFELJI_00215	otsB	trehalose-phosphatase	COG:COG1877, COG:G, RefSeq:WP_002911505.1, SO:0001217, UniParc:UPI00015764D9, UniRef:UniRef100_A0A7U7F6B8, UniRef:UniRef50_P31678, UniRef:UniRef90_A0A2N4Z047
contig_1	cds	37031	38455	+	KFELJI_00220	otsA	alpha,alpha-trehalose-phosphate synthase	COG:COG0380, COG:G, EC:2.4.1.15, GO:0003825, GO:0005992, RefSeq:WP_004175414.1, SO:0001217, UniParc:UPI00015764D8, UniRef:UniRef100_A6TB47, UniRef:UniRef50_Q8XCE7, UniRef:UniRef90_A6TB47
contig_1	cds	38479	38907	-	KFELJI_00225	uspC	universal stress protein UspC	COG:COG0589, COG:T, KEGG:K14064, RefSeq:WP_004175415.1, SO:0001217, UniParc:UPI00015764D7, UniRef:UniRef100_A0A169J0X4, UniRef:UniRef50_P46888, UniRef:UniRef90_A0A486NQ37
contig_1	cds	39260	40843	+	KFELJI_00230	melB	MFS transporter	COG:COG2211, COG:G, RefSeq:WP_002911499.1, SO:0001217, UniParc:UPI00015764D6, UniRef:UniRef100_A0A7U7IHF0, UniRef:UniRef50_A0A4R7G5K6, UniRef:UniRef90_A0A1Y6GLE0
contig_1	cds	40848	41987	+	KFELJI_00235	yesR	glycoside hydrolase 105 family protein	COG:COG4225, COG:G, RefSeq:WP_004184668.1, SO:0001217, UniParc:UPI000205B618, UniRef:UniRef100_A0A7U7IHP9, UniRef:UniRef50_E1SJP9, UniRef:UniRef90_A0A060VKP4
contig_1	cds	42049	43782	-	KFELJI_00240	argS	arginine--tRNA ligase	COG:COG0018, COG:J, EC:6.1.1.19, GO:0004814, GO:0005524, GO:0005737, GO:0006420, KEGG:K01887, RefSeq:WP_023157960.1, SO:0001217, UniParc:UPI0003BAFE10, UniRef:UniRef100_V0AZW4, UniRef:UniRef50_Q9KQC6, UniRef:UniRef90_A6TB43
contig_1	cds	44018	44587	+	KFELJI_00245	yecM	VOC family protein	COG:COG3102, COG:R, RefSeq:WP_002911491.1, SO:0001217, UniParc:UPI000205B61A, UniRef:UniRef100_A0A0E1CGG8, UniRef:UniRef50_P52007, UniRef:UniRef90_W9BAJ1
contig_1	cds	44664	45407	+	KFELJI_00250	cutC	copper homeostasis protein CutC	COG:COG3142, COG:P, GO:0005737, KEGG:K06201, RefSeq:WP_032412571.1, SO:0001217, UniParc:UPI00044F3A54, UniRef:UniRef100_A0A4S7MR18, UniRef:UniRef50_Q8Z5V9, UniRef:UniRef90_A6TB41
contig_1	ncRNA	45182	45490	+	KFELJI_00255	MicL	MicL sRNA	RFAM:RF02654, SO:0000655
contig_1	cds	45489	46493	-	KFELJI_00260	cmoB	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	COG:COG2227, COG:H, EC:2.5.1.-, GO:0002098, GO:0016765, RefSeq:WP_039817831.1, SO:0001217, UniParc:UPI000584FA63, UniRef:UniRef100_A0A4S4YTR9, UniRef:UniRef50_B8F571, UniRef:UniRef90_A6TB40
contig_1	cds	46490	47233	-	KFELJI_00265	cmoA	carboxy-S-adenosyl-L-methionine synthase CmoA	COG:C, COG:COG4106, EC:2.1.3.-, GO:0002098, GO:0016743, GO:1904047, RefSeq:WP_004175417.1, SO:0001217, UniParc:UPI00015764D0, UniRef:UniRef100_A6TB39, UniRef:UniRef50_Q12N04, UniRef:UniRef90_A6TB39
contig_1	cds	47273	47668	-	KFELJI_00270		Protein of unknown function DUF72	RefSeq:WP_002911484.1, SO:0001217, UniParc:UPI00015764CF, UniRef:UniRef100_A0A377W1V0, UniRef:UniRef50_A0A377W1V0, UniRef:UniRef90_A0A377TXT9
contig_1	cds	47721	48539	-	KFELJI_00275	yecE	Protein of unknown function DUF72	COG:COG1801, COG:R, RefSeq:WP_094317157.1, SO:0001217, UniParc:UPI000B95463E, UniRef:UniRef100_UPI000B95463E, UniRef:UniRef50_P37348, UniRef:UniRef90_A0A060VKG6
contig_1	cds	48536	49102	-	KFELJI_00280	pncA	hydrolase	COG:COG1335, COG:HR, RefSeq:WP_004145564.1, SO:0001217, UniParc:UPI0001A58659, UniRef:UniRef100_A0A7U7F5W7, UniRef:UniRef50_A0A0N0GLL2, UniRef:UniRef90_A0A2V3KCG7
contig_1	cds	49370	51157	+	KFELJI_00285	aspS	aspartate--tRNA ligase	COG:COG0173, COG:J, EC:6.1.1.12, GO:0003676, GO:0004815, GO:0005524, GO:0005737, GO:0006422, RefSeq:WP_002911479.1, SO:0001217, UniParc:UPI00015764CC, UniRef:UniRef100_A6TB35, UniRef:UniRef50_Q15RN2, UniRef:UniRef90_Q8ZNV2
contig_1	cds	51159	51602	+	KFELJI_00290	nudB	dihydroneopterin triphosphate diphosphatase	COG:COG0494, COG:V, RefSeq:WP_002911477.1, SO:0001217, UniParc:UPI00015764CB, UniRef:UniRef100_A0A0E1CC52, UniRef:UniRef50_P0AFC1, UniRef:UniRef90_A0A0J2K3G7
contig_1	cds	51630	52370	+	KFELJI_00295		putative transcriptional regulatory protein KPK_1906	RefSeq:WP_002911459.1, SO:0001217, UniParc:UPI0001576408, UniRef:UniRef100_B5XQ02, UniRef:UniRef90_P0A8A0
contig_1	cds	52405	52926	+	KFELJI_00300	ruvC	crossover junction endodeoxyribonuclease RuvC	COG:COG0817, COG:L, EC:3.1.21.10, GO:0000287, GO:0003676, GO:0006281, GO:0006310, GO:0008821, RefSeq:WP_002911456.1, SO:0001217, UniParc:UPI0001576407, UniRef:UniRef100_A6TB32, UniRef:UniRef50_Q483C6, UniRef:UniRef90_A8AFH8
contig_1	cds	53006	53617	+	KFELJI_00305	ruvA	Holliday junction branch migration protein RuvA	COG:COG0632, COG:L, EC:3.6.4.12, EC:5.6.2.4, GO:0003677, GO:0005524, GO:0006281, GO:0006310, GO:0009378, GO:0009379, GO:0009432, GO:0016887, KEGG:K03550, RefSeq:WP_002911454.1, SO:0001217, UniParc:UPI0001576406, UniRef:UniRef100_B5XQ04, UniRef:UniRef50_Q0A5Q3, UniRef:UniRef90_B5XQ04
contig_1	cds	53626	54636	+	KFELJI_00310	ruvB	Holliday junction branch migration DNA helicase RuvB	COG:COG2255, COG:L, EC:3.6.4.12, GO:0003677, GO:0005524, GO:0006281, GO:0006310, GO:0009378, GO:0009432, GO:0016887, RefSeq:WP_004148860.1, SO:0001217, UniParc:UPI0001576405, UniRef:UniRef100_A6TB30, UniRef:UniRef50_O32055, UniRef:UniRef90_A8AFI1
contig_1	cds	54700	55485	-	KFELJI_00315	znuB	zinc ABC transporter permease subunit ZnuB	COG:COG1108, COG:P, GO:0000006, GO:0005886, GO:0005887, GO:0010043, GO:0016020, GO:0055052, GO:0055069, GO:0071578, RefSeq:WP_002911451.1, SO:0001217, UniParc:UPI0001576404, UniRef:UniRef100_A0A0W8ARD9, UniRef:UniRef50_P39832, UniRef:UniRef90_P39832
contig_1	cds	55485	56237	-	KFELJI_00320	znuC	zinc ABC transporter ATP-binding protein ZnuC	COG:COG1121, COG:P, EC:7.2.2.20, GO:0005524, GO:0005886, GO:0015633, RefSeq:WP_002911449.1, SO:0001217, UniParc:UPI0001576403, UniRef:UniRef100_A0A7U7F5F5, UniRef:UniRef50_Q8ZNV7, UniRef:UniRef90_Q8ZNV7
contig_1	cds	56301	57260	+	KFELJI_00325	znuA	zinc ABC transporter substrate-binding protein ZnuA	COG:COG4531, COG:P, SO:0001217, UniParc:UPI0002830529, UniRef:UniRef100_W9BAH8, UniRef:UniRef50_P39172, UniRef:UniRef90_A0A2X2EEJ2
contig_1	cds	57276	58595	+	KFELJI_00330	mepM	murein DD-endopeptidase MepM	COG:COG3061, COG:D, EC:3.4.24.-, KEGG:K19304, RefSeq:WP_004148858.1, SO:0001217, UniParc:UPI000241DD3B, UniRef:UniRef100_A0A0F0JLC7, UniRef:UniRef50_P0AFT0, UniRef:UniRef90_W9BHF2
contig_1	cds	58713	59687	+	KFELJI_00335	lpxM	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	COG:COG1560, COG:I, RefSeq:WP_004175421.1, SO:0001217, UniParc:UPI000241DD3A, UniRef:UniRef100_W9BHY1, UniRef:UniRef50_P24205, UniRef:UniRef90_W9BHY1
contig_1	cds	59728	61170	-	KFELJI_00340	pyk	pyruvate kinase	COG:COG0469, COG:G, EC:2.7.1.40, GO:0000287, GO:0004743, GO:0005524, GO:0005737, GO:0005829, GO:0006096, GO:0016301, GO:0030955, RefSeq:WP_002911440.1, SO:0001217, UniParc:UPI00015763FF, UniRef:UniRef100_W9BPN8, UniRef:UniRef50_P21599, UniRef:UniRef90_P21599
contig_1	cds	61296	62183	-	KFELJI_00345	rpiR	transcriptional regulator HexR	COG:COG1737, COG:K, SO:0001217, UniParc:UPI00015763FE, UniRef:UniRef100_A0A1L5VWQ8, UniRef:UniRef50_P46118, UniRef:UniRef90_A0A1L5VWQ8
contig_1	cds	62521	63996	+	KFELJI_00350	zwf	glucose-6-phosphate dehydrogenase	COG:COG0364, COG:G, EC:1.1.1.363, EC:1.1.1.49, GO:0004345, GO:0005829, GO:0006006, GO:0006098, GO:0009051, GO:0009372, GO:0042802, GO:0050661, KEGG:K00036, RefSeq:WP_002911427.1, SO:0001217, UniParc:UPI00015763FD, UniRef:UniRef100_A0A0W8ARJ0, UniRef:UniRef50_O68282, UniRef:UniRef90_Q8XCJ6
contig_1	cds	64219	66030	+	KFELJI_00355	edd	phosphogluconate dehydratase	COG:COG0129, COG:EG, EC:4.2.1.12, GO:0004456, GO:0005829, GO:0009255, GO:0016836, GO:0046177, GO:0046872, GO:0051539, KEGG:K01690, RefSeq:WP_002911425.1, SO:0001217, UniParc:UPI0001A58650, UniRef:UniRef100_A0A7U7F5W3, UniRef:UniRef50_P0ADF7, UniRef:UniRef90_P0ADF7
contig_1	cds	66069	66710	+	KFELJI_00360	eda	keto-deoxy-phosphogluconate aldolase	COG:COG0800, COG:G, EC:4.1.2.14, EC:4.1.3.42, KEGG:K01625, RefSeq:WP_002911423.1, SO:0001217, UniParc:UPI00015763FB, UniRef:UniRef100_A0A7U7F5F0, UniRef:UniRef50_A0A653UWH9, UniRef:UniRef90_A0A1Y6GF35
contig_1	cds	66767	67945	-	KFELJI_00365	purT	formate-dependent phosphoribosylglycinamide formyltransferase	EC:6.3.1.21, GO:0000287, GO:0004644, GO:0005524, GO:0006189, GO:0016874, GO:0043815, RefSeq:WP_002911418.1, SO:0001217, UniParc:UPI00015763FA, UniRef:UniRef100_A0A081LV61, UniRef:UniRef50_P46927, UniRef:UniRef90_B5XQ21
contig_1	cds	68090	68437	+	KFELJI_00370	yebG	LexA family transcriptional regulator	COG:COG3141, COG:L, RefSeq:WP_002911410.1, SO:0001217, UniParc:UPI00015763F9, UniRef:UniRef100_A0A2V3KC84, UniRef:UniRef50_A0A1Q8YN64, UniRef:UniRef90_W9BAH1
contig_1	cds	68577	69236	+	KFELJI_00375	yebE	DUF533 domain-containing protein	COG:COG2979, COG:S, RefSeq:WP_004145550.1, SO:0001217, UniParc:UPI00015763F8, UniRef:UniRef100_A0A0E1CCA3, UniRef:UniRef50_P33218, UniRef:UniRef90_W9BHE8
contig_1	cds	69390	71417	+	KFELJI_00380	ptrB	oligopeptidase B	COG:COG1770, COG:E, SO:0001217, UniParc:UPI00015763F7, UniRef:UniRef100_A0A060VSQ4, UniRef:UniRef50_P24555, UniRef:UniRef90_W9BHX8
contig_1	cds	71421	72080	-	KFELJI_00385	exoX	exodeoxyribonuclease X	COG:COG0847, COG:L, RefSeq:WP_002911407.1, SO:0001217, UniParc:UPI00015763F6, UniRef:UniRef100_A0A7U7IHD9, UniRef:UniRef50_B2VJ76, UniRef:UniRef90_A0A1C3PIN8
contig_1	cds	72159	72389	-	KFELJI_00390		DNA polymerase III subunit theta	RefSeq:WP_002911406.1, SO:0001217, UniParc:UPI000218631F, UniRef:UniRef100_W9B9T6, UniRef:UniRef50_A0A3B0J786, UniRef:UniRef90_A0A0G3S7D5
contig_1	cds	72502	72876	+	KFELJI_00395	yobA	CopC domain-containing protein YobA	COG:COG2372, COG:P, RefSeq:WP_039819395.1, SO:0001217, UniParc:UPI000585BB9F, UniRef:UniRef100_A0A4S4UHD1, UniRef:UniRef50_A0A285B636, UniRef:UniRef90_A0A0H3GRY3
contig_1	cds	72880	73749	+	KFELJI_00400	copD	copper homeostasis membrane protein CopD	COG:COG1276, COG:P, RefSeq:WP_004175431.1, SO:0001217, UniParc:UPI000282F965, UniRef:UniRef100_A0A0S3FH51, UniRef:UniRef50_A0A5U1Q1V4, UniRef:UniRef90_A0A0S3FH51
contig_1	cds	73766	74104	+	KFELJI_00405		DUF2511 domain-containing protein	RefSeq:WP_002911404.1, SO:0001217, UniParc:UPI0001576FDF, UniRef:UniRef100_A0A0E1CCT2, UniRef:UniRef50_P64506, UniRef:UniRef90_A0A0E1CCT2
contig_1	ncRNA	74225	74369	-	KFELJI_00410	SraC_RyeA	SraC/RyeA RNA	RFAM:RF00101, SO:0000655
contig_1	ncRNA	74266	74365	+	KFELJI_00415	SdsR_RyeB	SdsR_RyeB RNA	RFAM:RF00111, SO:0000655
contig_1	ncRNA	74543	74605	-	KFELJI_00420	RydC	RydC RNA	RFAM:RF00505, SO:0000655
contig_1	cds	74989	75999	-	KFELJI_00425	virK	DUF535 domain-containing protein	COG:COG2990, COG:S, KEGG:K09824, RefSeq:WP_004184659.1, SO:0001217, UniParc:UPI0001A58647, UniRef:UniRef100_A0A332MG46, UniRef:UniRef50_G8LGA4, UniRef:UniRef90_A0A0E1CH21
contig_1	cds	76114	76767	+	KFELJI_00430	pphA	protein-serine/threonine phosphatase	RefSeq:WP_024622748.1, SO:0001217, UniParc:UPI00041D6BAB, UniRef:UniRef100_A0A4S8CNL7, UniRef:UniRef50_Q8ZNY9, UniRef:UniRef90_A0A378AA59
contig_1	cds	76764	76955	-	KFELJI_00435		DUF1482 domain-containing protein	RefSeq:WP_002911395.1, SO:0001217, UniParc:UPI0001576FDC, UniRef:UniRef100_A0A087FRT8, UniRef:UniRef50_E0SF12, UniRef:UniRef90_A0A087FRT8
contig_1	cds	77053	77292	-	KFELJI_00440		DUF1480 domain-containing protein	RefSeq:WP_002911393.1, SO:0001217, UniParc:UPI0001576FDB, UniRef:UniRef100_A0A447W8Q5, UniRef:UniRef50_A0A037YEE3, UniRef:UniRef90_A0A447W8Q5
contig_1	cds	77408	78796	-	KFELJI_00445	rsmF	16S rRNA (cytosine(1407)-C(5))-methyltransferase RsmF	COG:COG3270, COG:J, EC:2.1.1.178, GO:0003723, GO:0005737, GO:0016434, KEGG:K11392, RefSeq:WP_004175438.1, SO:0001217, UniParc:UPI0001576FDA, UniRef:UniRef100_A0A080T7J8, UniRef:UniRef50_A6TB06, UniRef:UniRef90_A6TB06
contig_1	cds	78965	81598	-	KFELJI_00450	pqiB	MCE family protein	COG:COG3008, COG:M, KEGG:K06192, RefSeq:WP_002911388.1, SO:0001217, UniParc:UPI0001576FD9, UniRef:UniRef100_A0A0E1CH26, UniRef:UniRef50_A0A379F4F9, UniRef:UniRef90_R4YBA6
contig_1	cds	81567	82850	-	KFELJI_00455	yebS	membrane integrity lipid transport subunit YebS	COG:COG2995, COG:M, RefSeq:WP_002911387.1, SO:0001217, UniParc:UPI0001A58643, UniRef:UniRef100_W9B9S8, UniRef:UniRef50_P0AD04, UniRef:UniRef90_W9B9S8
contig_1	cds	82926	83480	+	KFELJI_00460		Free methionine-R-sulfoxide reductase	SO:0001217, UniParc:UPI0001A58642, UniRef:UniRef100_W9BAF8, UniRef:UniRef50_P76270, UniRef:UniRef90_A0A2X3JAQ1
